pamrel,164,write,nv:si
peng,162,tell,v:tr
hapxì,161,part,n
krra,158,"when, at the time that",conj
fìtseng,157,"here, this place",n
omum,156,know,v:tr
’a’aw,154,"a few, several",adj
pum,150,‘one’ (refers to another instance of a previously mentioned noun),pn
pongu,150,"group of people, party",n
yom,148,eat,v:tr
hahaw,148,sleep,v:in
lì’fya,146,language,n
teynga,145,that answer (indirect question marker),ctr
kea,145,no (before a noun),adj
mi,142,"yet, still, as before",adv
pawm,140,ask,v:tr
säomum,138,(piece of) information,n
za’u,137,come,v:in
ngop,137,create,v:tr
sno,136,"his self, her self, its self",pn
nìmun,131,again,adv
nìna’vi,131,"like the Na’vi, Na’vily",adv
tsnì,130,that (function word),ctr
pängkxo,127,"chat, converse, have a conversation",v:in
tseng,127,place,n
syaw,127,call,v:in
sar,126,use,v:tr
ya,124,air,n
kxì,124,hello (casual),intj
san,124,(start-of-quote particle),part
nì’it,123,"a bit, a small amount (abstract)",adv
koren,123,"rule, guideline",n
terkup,121,die,v:in
irayo,120,"thank you, thanks",n
kä,119,go,v:in
sìltsan,118,"good (of its kind), well done",adj
ftu,118,from (direction),adp
fmi,118,"try, attempt",v:tr
sran,117,yes (colloquial),part
li,117,already,adv
na,114,"like, as",adp
kem,113,"action, deed",n
srake,111,yes/no (question marker for yes-or-no questions),part
krrka,108,during,adp
ngian,107,however,adv
tse’a,106,see (physical sense),v:tr
yuesey,105,U.S.A.,n:pr
kxawm,101,"perhaps, maybe",adv
kanom,100,"acquire, get",v:tr
nìwotx,98,"all (of), in toto, completely",adv
nìhawng,98,"too, excessively",adv
lì’ukìng,97,sentence,n
sngä’i,96,"begin, start",v:m
tslam,96,understand,v:tr
kehe,95,no,part
oeng,94,"we, us (inclusive)",pn
tìng,93,give,v:tr
txan,91,much,adj
kin,91,need,v:tr
kifkey,91,"world (physical, solid)",n
tìlen,90,"event, happening",n
inan,89,"read (e.g. the forest), gain knowledge from sensory input",v:tr
zup,88,fall,v:in
tìtxen,87,"to wake, to waken, wake up",nv:si
hum,85,"leave, depart",v:in
ftxey,85,choose,v:tr
mllte,84,agree,v:in
run,83,"find, discover",v:tr
lena’vi,83,"having to do with the Na’vi, the People",adj
fya’o,83,"path, way, manner",n
herwì,83,snow,n
sìlpey,81,hope ,v:in
makto,81,ride,v:tr
tsatseng,81,"there, that place",n
tekre,81,skull,n
atxkxe,81,land,n
nume,81,learn,v:in
apxa,81,large,adj
fpom,80,"wellbeing, peace, happiness",n
pay,79,"water, liquid",n
tsenge,79,place,n
ska’a,78,destroy,v:tr
fpi,78,"for the sake of, for the benefit of",adp:len
talun,78,"because of, due to",adp
fmawnta,78,that news (reported observations marker),ctr
maw,77,after (time),adp
sìk,77,(end-of-quote particle),part
smon,76,"be familiar, be known (with dative)",v:in
txantsan,76,excellent,adj
ko,75,‘let’s’ (particle to solicit agreement),part
’awve,75,first (ordinal),adj
pelun,74,why,inter
tafral,74,"therefore, because of that",adv
frato,74,than all (superlative marker),part
tse,73,well (conversation starter),intj
tskxekeng,73,"exercise, train",nv:si
ngäzìk,72,"difficult, hard",adj
ìlä,72,"by, via, following, according to",adp:len
’eylan,71,friend,n
kezemplltxe,71,"of course, needless to say",adv
yrrap,70,storm,n
tìngäzìk,69,"difficulty, problem",n
nìngay,68,truly,adv
pa’li,68,direhorse,n
latem,68,change,v:in
zum,68,"object, thing (physical or tangible)",n
nìn,67,look at,v:tr
pe’un,67,decide,v:tr
ngeyn,66,tired,adj
frakrr,66,"always, all the time",adv
tìfkeytok,66,"state, condition, situation",n
trram,65,yesterday,adv
puk,65,book,n
lam,65,"seem, appear",v:in
fmawn,65,"news, something to report",n
tìfmetok,65,test,n
lefpom,64,"happy, peaceful, joyous, pleasant",adj
olo’,64,clan,n
sweylu,63,should,v:in
syuve,63,"food (collective noun, cannot be pluralised)",n
yafkeyk,62,weather,n
pxìm,61,often,adv
hapxìtu,61,member,n
pamtseo,60,music,n
tengkrr,60,"while, same time as",conj
pefya,60,how,inter
alo,60,"time, turn, instance, one of a number of repeated or recurring actions",n
keftxo,60,"unhappy, upset",adj
kefyak,59,"isn’t it?, right?",part
var,59,"to persist in a state, to continue to perform an action",v:m
to,59,‘than’ (comparative marker),part
tsray,59,village,n
yune,58,listen to (intentionally),v:tr
’o’,58,"bringing fun, exciting",adj
fkeytok,58,exist,v:in
ioang,58,"animal, beast",n
’em,58,cook,v:tr
numeyu,58,student,n
ftia,58,study,v:tr
’rrta,57,Earth,n:pr
tompa,57,rain,n
tut,57,continuation marker,part
nitram,57,happy (of people),adj
ftang,56,stop,v:m
ftxozä,56,"celebration, happy occasion",n
karyu,55,teacher,n
srung,55,"help, assistance",n
fayluta,55,these words (reported speech marker),ctr
kam,55,ago,adp
’eko,54,attack,v:tr
zo,54,"be well, be intact, be as it should be, work correctly or as nature intended",v:in
kintrr,54,week,n
mawkrr,54,"after, afterwards, later",adv
tsamsiyu,54,warrior,n
natkenong,53,"for example, as an example",conj
fìtsenge,53,"here, this place",n
lok,53,close to,adp
leymkem,53,protest,v:in
txele,52,matter (subject),n
ftxìlor,51,"delicious, good tasting",adj
txon,51,night,n
yayayr,51,confusion,n
kllte,51,ground,n
txin,51,"main, primary",adj
hufwe,50,wind,n
nìkeftxo,50,"unfortunately, sadly",adv
tstxo,50,name,n
tì’efu,50,feeling,n
kar,50,teach,v:tr
tawtute,50,"Skyperson, human",n
säfpìl,49,idea,n
tätxaw,49,return,v:in
txantsawtsray,49,"large city, metropolis",n
sä’o,49,"tool, utensil",n
som,48,hot,adj
soaia,48,family,n
spxin,48,sick,adj
txep,48,fire,n
hufwa,48,although,conj
tìftiatu,47,researcher,n
vur,47,story,n
sop,46,travel,v:in
hì’i,46,"small, little (in size)",adj
rolun,46,Eureka! I’ve found it!,intj
rutxe,45,please,intj
stum,45,almost,adv
trray,45,tomorrow,adv
kosman,45,"wonderful, terrific, fantastic",adj
skxawng,45,"moron, idiot",n
steftxaw,45,"examine, check",v:tr
pehem,44,what (action),inter
pam,44,sound,n
nìftxan,44,"so, to such an extent",adv
txampay,44,"sea, ocean",n
wew,44,cold,adj
kawtu,44,no one,pn
ikran,44,"ikran, banshee",n
kempe,44,what (action),inter
nìltsan,44,well,adv
srer,44,"appear, materialize, come into view",v:in
kxìm,43,"command, order, assign a task",v:tr
’ì’awn,43,"remain, stay",v:in
’eveng,43,child,n
na’vi,43,"the People, indigenous Pandoran sentient race",n:pr
tspang,43,kill,v:tr
tìtxula,43,"construction, constructed thing",n
fkan,42,"resemble in a sensory modality, come to the senses as",v:in
oare,42,moon,n
nivi,42,sleeping hammock (general term),n
rewon,42,morning,n
muve,42,second (ordinal),adj
txolar,42,dollar,n
ye’rìn,41,soon,adv
kuma,41,that (as a result),conj
ham,41,previous,adj
tìran,41,walk,v:in
tsawa,41,that (subclause marker),ctr
tsawke,40,sun; Alpha Centauri A,n
nìwin,40,"fast,  quickly",adv
sleyku,40,produce,v:tr
rä’ä,40,"do not (for negative imperatives, commands only)",part
tsawl,40,"big (in size), tall",adj
zong,40,"save, defend",v:tr
tutan,39,"man, male (person)",n
säspxin,39,"disease, sickness, illness",n
ultxa,39,meeting,n
tsunslu,39,"may, be possible",v:in
tung,39,allow,v:tr
nga’,39,contain,v:tr
zey,39,"special, distinct",adj
tson,39,"obligation, duty, imposed requirement",n
taw,38,sky,n
lehrrap,38,dangerous,adj
srefwa,38,before,conj
tslolam,38,"get it, I understand",intj
wìntxu,38,show,v:tr
fyape,38,how,inter
hay,38,next,adj
tsafya,38,"that way, like that",adv
’upxare,38,message,n
sko,38,"something as, in the capacity of, or in the role of, something else",adp:len
kangay,38,valid,adj
ngim,38,long (physical length),adj
vospxì,38,month,n
stxeli,38,gift,n
leykek,38,enforce,v:tr
wutso,37,"dinner, served meal",n
tìralpeng,37,"translation, interpretation",n
tsonta,37,to (with kxìm),conj
tsranten,37,"matter, be of importance",v:in
numtseng,37,school,n
tuteo,37,"somebody, someone",pn
nari,37,eye,n
pey,37,"wait, wait for",v:in
hek,37,"to be curious, odd, strange, unexpected",v:in
kolan,36,"I mean, rather (selfcorrecting)",intj
hasey,36,"done, finished",adj
nìprrte’,36,"pleasurably, gladly, with pleasure",adv
pxiset,36,right now,adv
tìpängkxo,36,"conversation, discussion",n
keng,36,"even, so much as",adv
eyawr,36,"correct, right",adj
layon,36,black,adj
vay,36,up to,adp
tìkan,36,"aim, goal, purpose, target",n
tsawtsray,36,small or medium-sized city,n
fe’,35,bad,adj
luke,35,without,adp
tsyänel,35,TV channel,n
pxor,35,explode,v:in
mawfwa,34,after,conj
oeyktìng,34,explain (why),v:tr
pxaw,34,around,adp
nawm,34,"great, noble",adj
tswa’,34,forget,v:tr
mokri,34,voice,n
fpe’,34,send,v:tr
kemlì’u,34,verb,n
syura,34,energy (physical or spiritual),n
lonu,34,"release, let go",v:tr
postì,34,(forum/blog) post,n
ralpeng,33,"interpret, translate",v:tr
tanhì,33,"star, bioluminescent freckle",n
peu,33,what (thing),inter
salew,33,"proceed, go",v:?
nìyey,33,"directly, straight to the point",adv
ätxäle,33,request,n
frrfen,32,visit,v:tr
uniltìrantokx,32,avatar,n
sa’nok,32,mother,n
stawm,32,hear,v:tr
tskxe,32,"rock, stone",n
ngong,31,"lethargic, lacking sufficient energy, lazy",adj
lawk,31,"discourse on, talk about, say something concerning",v:tr
wä,31,against (as in: fight against),adp:len
zeyko,31,"heal, fix",v:tr
tìpawm,31,question,n
letokx,30,"bodily, physical",adj
kawkrr,30,never,adv
nulkrr,30,longer (time),adv
lun,30,reason,n
lor,30,"beautiful, pleasant to the senses",adj
nì’awve,30,first,adv
nantangtsyìp,30,dog (earth animal); lit. little nantang,n
tokx,30,body,n
’umtsa,30,medicine,n
rey,30,live,v:in
ral,30,meaning,n
tsawlultxa,30,"large gathering, conference",n
eyk,30,lead,v:tr
tul,29,run,v:in
nìfkrr,29,"lately, currently",adv
hìtxoa,29,excuse me,intj
’ewll,29,plant,n
hayalovay,29,until next time,intj
tel,29,receive,v:tr
ean,29,"blue, green",adj
swey,29,best,adj
palulukantsyìp,29,cat (earth animal); lit. little palulukan,n
nìsung,29,"besides, additionally, furthermore",adv
ngopyu,29,creator,n
txasunu,28,"love greatly, enjoy tremendously",v:in
txankrr,28,for a long time,adv
näk,28,drink,v:tr
’ä’,28,oops!,intj
ro,28,at (locative),adp:len
rikx,28,"move, shift position",v:in
kilvan,28,river,n
utral,28,tree,n
na’rìng,28,forest,n
ram,28,mountain,n
law,28,"clear, certain",adj
kum,28,result,n
lrrtok,27,smile,nv:si
hona,27,"endearing, adorable, cute",adj
txen,27,awake,adj
yoa,27,in exchange for,adp
ìì,27,"um, er",intj
txasom,27,very hot,adj
meuia,27,honor,n
nìpxi,27,"especially, pointedly, unambiguously",adv
tìsraw,27,"hurt, be painful",nv:si
ftue,27,"easy, simple",adj
txintìn,27,"occupation, primary role in society",n
hìkrr,27,"second, very short time",n
sìn,26,"on, onto",adp
fnu,26,"quiet, be quiet",v:in
’i’a,26,"end, conclude",v:in
spaw,26,believe,v:tr
sngum,26,worry,n
tìyawr,26,correctness,n
pähem,26,arrive,v:in
yem,26,"put, place",v:tr
tsim,26,source,n
txintseng,26,base of operations,n
weptseng,25,website,n
atan,25,light,n
txopu,25,fear,n
tìlatem,25,change (abstract concept),n
skxakep,25,probable,adj
’ìp,25,"disappear, vanish, recede from view",v:in
nìsìlpey,25,hopefully,adv
hawnu,25,"protect, shelter",v:tr
rou,25,"be, or get drunk",v:in
nìfya’o,25,in a manner,adv
tìkxuke,25,safety,n
nìfkeytongay,24,"actually, as a matter of fact",adv
ka,24,"across, covering thoroughly",adp
unil,24,dream,n
loi,24,egg,n
sla’tsu,24,describe,v:tr
wrrpa,24,outside,n
letsranten,24,important,adj
tìkangkemvi,24,"project, piece of work",n
tswayon,24,fly,v:in
srekrr,24,"before, already, ahead of time",adv
tsam,24,war,n
fìkem,24,this (action),pn
spe’e,24,capture,v:tr
tìkin,23,need,n
tsmuk,23,sibling,n
vewng,23,"look after, take care of, be responsible for",v:tr
uran,23,boat,n
sempul,23,father,n
tsleng,23,false,adj
frawzo,23,"all is well, everything is fine or OK",intj
sung,23,add,v:tr
rìk,23,leaf,n
tìrey,23,life,n
tì’i’a,23,"ending, conclusion",n
nì’i’a,23,"finally, at long last",adv
txula,23,"build, construct",v:tr
lefkrr,23,current,adj
vaykrr,22,until,conj
hì’ang,22,insect,n
fwew,22,"look for, seek, search",v:tr
ki,22,"but rather, but instead",conj
släkop,22,but also,adv
alunta,22,"because, from the reason",conj
wem,22,fight,v:in
nemfa,22,"into, inside",adp
zerok,22,remember,v:tr
hawl,22,prepare,v:tr
kxeyey,22,"error, mistake",n
kan,22,"aim, to direct a weapon or other object at a target",v:tr
lekoren,22,lawlike,adj
tì’eyng,22,"answer, response",n
takuk,22,"strike, beat, slap",v:tr
holpxay,22,number,n
ayu,21,things,n
nekx,21,"burn, consume",v:tr
txampxì,21,"majority, most, large part",n
’it,21,"bit, a small amount",n
sang,21,warm,adj
yewla,21,"disappointment, emotional letdown, failed expectation",n
rol,21,sing,v:?
tstxolì’u,21,noun,n
tseri,21,"note, notice",v:tr
txe’lan,21,heart,n
ngay,21,true,adj
nì’ul’ul,21,"increasingly, more and more",adv
txawew,21,very cold,adj
steyki,21,"anger, make someone angry",v:tr
tstu,21,"closed, shut, overcast (for cloudy skies)",adj
slan,21,"support (emotional, social or personal support)",v:tr
txepram,21,volcano,n
säwäsul,21,competition,n
skxir,21,wound,nv:si
syor,20,"relax, chill out",v:in
tup,20,"instead of, rather than",conj
vawm,20,dark,adj
teya,20,fill (with dative of thing filled),nv:si
zoslu,20,"heal, become well, get fixed",v:in
wur,20,"cool, chilly",adj
neytiri,20,female Na’vi of the Omatikaya Clan,n:pr
tun,20,"red, orange",adj
yawne,20,beloved,adj
eo,20,"before, in front of (place)",adp
yì,20,"shelf, ledge, level, step, rung ",n
nìtam,20,enough,adv
tare,20,"connect, relate to, have a relationship with",v:tr
zeykoyu,20,healer,n
kllpxìltu,20,territory,n
okup,20,milk,n
key,20,face,n
rawn,20,"replace, substitute",v:tr
vefya,20,"system, process, procedure, approach",n
toltem,20,shoot,v:tr
pxawngip,20,environment,n
hìmtxewvay,20,minimally,adv
sre,19,before (time),adp:len
sa,19,rise to a challenge,v:in
ewro,19,euro,n
keteng,19,different,adj
ken’aw,19,not only,adv
txonam,19,last night,adv
tsngawvìk,19,"cry, weep",v:in
flä,19,succeed,v:in
wätu,19,opponent,n
kxumpay,19,"viscous liquid, gel",n
sä’eoio,19,"ceremony, ritual, rite",n
spono,19,island,n
ta’leng,18,skin,n
kxanì,18,forbidden,adj
tsyosyu,18,food made from flour,n
’eyng,18,"answer, respond",v:in
nìmwey,18,"calmly, peacefully",adv
ngaytxoa,18,"sorry, my apologies (acknowledgment of guilt and regret)",intj
’ärìp,18,move,v:tr
leymfe’,18,complain,v:in
spulmokri,18,"phone, telephone",n
hifwo,18,"flee, escape",v:in
vin,18,"request, ask for",v:tr
kawng,18,"bad, evil",adj
wan,18,hide,v:tr
tsaktap,18,violence,n
rim,18,yellow,adj
uo,18,behind,adp
hol,18,few,adj
lì’upuk,18,dictionary,n
tìsop,18,journey,n
syep,18,trap,v:tr
tìreyn,18,train,n
kenong,18,"model, represent, exemplify",v:in
’awsiteng,17,together,adv
wou,17,"be amazing, fascinating (slang)",v:in
muntrr,17,weekend,n
fìfya,17,"this way, like this",adv
sim,17,be near,v:in
tolel,17,Eureka! I found it! I understand!,intj
tsan’ul,17,"improve, get better",v:in
hrrap,17,danger,n
vey,17,"meat, any food of animal origin (including fowl, fish, insects, eggs, milk)",n
tìftia,17,study,n
fmokx,17,"jealousy, envy",n
’aku,17,"remove, take away, take off",v:tr
kintrram,17,last week,n
lek,17,"heed, obey",v:tr
syayvi,17,"luck, chance",n
tìftxey,17,choice,n
europa,17,Europe,n:pr
spuwin,17,"old, former",adj
muntxatan,17,"husband, male spouse",n
payoang,17,fish,n
wiya,16,"expression of warning or frustration, ’damn!’",intj
zawprrte’,16,be enjoyable,v:in
sa’sem,16,parent or set of parents,n
kekem,16,no action or activity,n
pesu,16,who,inter
tewti,16,"wow, expression of surprise and pleasure",intj
nìsok,16,recently,adv
fra’u,16,everything,pn
fratrr,16,"daily, every day",adv
kerusey,16,dead,adj
nìlam,16,apparently,adv
stä’nìpam,16,recording,n
am’a,16,doubt,n
kxa,16,mouth,n
eywa’eveng,16,Pandora,n:pr
fmetok,16,test,v:tr
srey,16,version,n
pxeyve,16,third (ordinal),adj
yrr,16,"wild, natural (something in its original, unmodified, untamperedwith natural state)",adj
yur,16,wash,v:tr
penghrr,16,warn,v:in
etrìp,16,"favorable, auspicious",adj
lew,16,"cover, lid",n
ep’ang,16,complex,adj
poe,16,she,pn
lamaytxa,16,flood,n
tuté,16,"woman, female (person)",n
rum,16,ball,n
oeyk,16,cause,n
swizaw,15,arrow,n
’ur,15,"sight, look, appearance",n
wätx,15,be bad at,v:tr
mo,15,"space, hollow, enclosed open area",n
fwel,15,broken,adj
weyn,15,"draw, illustrate",v:tr
srefey,15,expect,v:tr
voìk,15,"behavior, how one conducts oneself",n
ohakx,15,hungry,adj
fngap,15,metal,n
kaym,15,"evening (before twilight), late afternoon",n
kxakx,15,"break, snap in two",v:in
kxap,15,threaten,nv:si
rusey,15,"alive, living, living thing",n
hipx,15,control,v:tr
kllfro’,15,be responsible,v:in
reyfya,15,"way of living, culture",n
srätx,14,"annoy, bother",v:tr
fuke,14,or not,conj
le’ìnglìsì,14,"English, of the English language",adj
mawey,14,calm,adj
laro,14,"clean, make free of dirt",nv:si
’opin,14,color,n
piak,14,"open, clear (for cloudless skies)",adj
melo,14,twice,adv
sngä’ikrr,14,"beginning, starting time",n
wo,14,reach for,v:tr
nìnän,14,less,adv
seykxel,14,"strong (emotionally, spiritually, not physical), confident",adj
kaw’it,14,"not at all, not a bit (used with ke; see ke kaw’it not...at all in phrases)",adv
lì’fyaolo’,14,"language group, language users",n
kämunge,14,take,v:tr
pak,14,disparagement,part
tìrol,14,song (vocal),n
lìm,14,be far,v:in
kame,14,"see, see into, understand, know (spiritual sense)",v:tr
fteke,14,"so that not, lest",conj
tìftang,14,stop (someone or something) ,nv:si
lom,14,"missing, missed (as an absent person who is longed for)",adj
tor,14,"last, ultimate, terminal",adj
pate,14,"get to a place, arrive",v:?
’uo,14,something,pn
hawngkrr,14,late,adv
syonlì’u,14,adjective,n
mesrram,13,"the day before yesterday, two days ago",n
nìk’ong,13,slowly,adv
fìtxan,13,"so, to such an extent",adv
mauti,13,fruit,n
mawl,13,half,n
fìtxon,13,tonight,n
nìfrakrr,13,as always,adv
nì’awtu,13,alone (as one person),adv
tìk’ìn,13,"free time, the absence of business",n
ve’kì,13,hate,v:tr
am’ake,13,"sure, confident",adj
lie,13,experience,n
saylahe,13,’et cetera’,adv
fratseng,13,everywhere,adv
vll,13,"indicate, point at",v:tr
nìlun,13,"of course, logically, following common sense",adv
tìkxey,13,"mess up, foul, do wrong",nv:si
tsap’alute,13,apologise (apologize),nv:si
virä,13,"spread, proliferate",v:?
skxom,13,"chance, opportunity",n
syen,13,"last, final",adj
fe’ul,13,"worsen, get worse",v:in
tsyeyk,13,Jake,n:pr
toitslan,13,Germany,n:pr
fwopx,13,dust (in the air),n
sna’o,13,"set, group, pile, clump, stand",n
’awstengyem,13,bind / bring two or more things together,v:tr
säleymkem,13,"protest, instance of protesting",n
srungsiyu,13,"assistant, helper",n
frrtu,13,"guest, visitor",n
txi,13,"hurry, hurriedness, frenzy",n
’ul,12,increase,v:in
nui,12,"fail, falter, go astray, not obtain expected or desired result",v:in
sto,12,refuse (to do something),v:tr
eywa,12,"Eywa, world spirit, Gaia",n:pr
steng,12,similar,adj
kxamtxon,12,midnight,n
kelutral,12,Hometree,n:pr
äo,12,"under, below",adp
fìtsap,12,each other,adv
fkxara,12,stress (mental or emotional feeling),n
lertu,12,colleague,n
fwampop,12,tapirus,n
netrìp,12,"luckily, happily",adv
maweypey,12,be patient,v:in
teng,12,"same, equal",adj
kxu,12,harm,nv:si
fnel,12,"kind, type",n
nìflä,12,successfully,adv
mìftxele,12,"in this regard, related to this matter",adv
eytukan,12,male leader of the Omatikaya,n:pr
emza’u,12,"pass (a test), overcome",v:tr
yora’,12,win,v:tr
pìlok,12,blog,n
fyin,12,simple,adj
tompakel,12,drought,n
tiam,12,count,v:tr
pänutìng,12,promise (a thing to someone),v:tr
fekem,12,accident,n
pxen,12,functional clothing (item of),n
txewm,11,"scary, frightening",adj
’ampi,11,touch,v:tr
tskxepay,11,ice,n
tsìk,11,"suddenly, without warning",adv
slantire,11,inspire,nv:si
tì’o’,11,"fun, excitement",n
takrra,11,since (temporal),conj
tìsom,11,heat,n
tsmukan,11,brother,n
lesar,11,"be useful, be of use, come in handy",nv:si
tìtxur,11,"strength, power",n
tstunwi,11,"kind, thoughtful, considerate",adj
’ìnglìsì,11,English language,n
hena,11,carry,v:tr
zun,11,if (counterfactual use),conj
zel,11,then (counterfactual use),adv
yo’,11,"be perfect, flawless",v:in
tsmuke,11,sister,n
o,11,"some, (with words of time) during",aff:suf
toitsye,11,German (language),adj
trrpuve,11,Friday,n
teylu,11,beetle larva,n
tsìve,11,fourth (ordinal),adj
pängkxoyu,11,"chatter, converser",n
txìng,11,"leave, abandon",v:tr
muntxa,11,"mate (with someone), marry",nv:si
nìsngä’i,11,"originally, at first",adv
so’ha,11,"be enthusiastic about, show enthusiasm for, be excited about",v:tr
tsulfätu,11,"master of an art, craft, or skill, expert",n
yäkx,11,"not notice, ignore, snub",v:tr
ketsran,11,"no matter, no matter what, whatever",adj
zìskrrsom,11,summer,n
fwi,11,"slip, slide",v:in
tsalsungay,11,"nevertheless, even so",adv
narlor,11,beautiful visually,adj
zamunge,11,bring,v:tr
mll’an,11,accept,v:tr
tsyul,11,"begin, start",v:tr
palon,11,burn,v:in
’okvur,11,history (nonancient),n
säftxulì’u,11,"speech, oration",n
zongtseng,11,"safe place, refuge",n
rangal,10,wish,v:in
zìskrrwew,10,winter,n
pehrr,10,when,inter
mungwrr,10,except,adp
sti,10,"anger (intransitive), be angry",v:in
nìvingkap,10,"by the way, incidentally",adv
muntxatu,10,spouse,n
tìhawl,10,"preparations, plan",n
tsurokx,10,rest,v:in
keyawr,10,"incorrect, wrong, not right",adj
lefkeytongay,10,real,adj
ekxan,10,"exclude, keep out, bar",nv:si
teyr,10,white,adj
wok,10,loud,adj
re’o,10,head,n
mìkam,10,between,adp
säwäsultsyìp,10,contest,n
naer,10,"drink, something able to be drunk",n
nrr,10,"glow, be luminous",v:in
tuktirey,10,Jake and Neytiri’s daughter,n:pr
lekye’ung,10,"insane, crazy",adj
win,10,fast,adj
prrnen,10,"infant, baby",n
zìskrrmipaw,10,spring,n
sästarsìm,10,collection (put together intentionally by a person),n
vun,10,provide,v:tr
’upe,10,what (thing),inter
nulnew,10,prefer,v:tr
muiä,10,"proper, fair, right, justified",adj
fpomtokx,10,health (physical),n
numultxa,10,class (for instruction),n
nìsyen,10,lastly,adv
kintrray,10,next week,n
säwìntxu,10,"showing, exhibition",n
tìpe’un,10,decision,n
txanso’hayu,10,"fan, enthusiast",n
spe’etu,10,captive,n
ye’krr,10,early,adv
kxayl,10,high,adj
tseotu,10,artist (generic term) ,n
kxitx,10,death,n
tìmwiä,10,"fairness, justice",n
kemwiä,10,"improper, unfair, wrong, unjustified",adj
horenleykekyu,10,"law enforcer, police officer",n
han,10,lose,v:tr
tsu’tey,10,male of the Omatikaya Clan,n:pr
tsewtx,9,dirty,adj
atokirina’,9,seed of the great tree,n
’ora,9,lake,n
nikre,9,hair,n
sur,9,"taste, flavor",n
swoa,9,"intoxicating beverage, or ""spirits""",n
sngä’iyu,9,beginner,n
mìso,9,away (position),adv
way,9,"song (ancient, ceremonial)",n
nìfe’,9,badly,adv
txung,9,"disturb, disrupt, bother, affect negatively",v:tr
komum,9,"don’t know, no idea (slang)",phr
kxìmyu,9,"commander, one with authority over another",n
numtsengvi,9,"classroom, division of a school",n
tswesya,9,current,n
mok,9,suggest,v:tr
’ongokx,9,be born,v:in
lini,9,"young of an animal, bird, fish, insect",n
kxuke,9,safe,adj
pllngay,9,admit,v:in
nìyrr,9,"naturally, without tampering with or changing the nature",adv
toruk,9,"toruk, great leonopteryx",n
ha’ngir,9,afternoon,n
kllkxem,9,stand,v:in
neni,9,sand,n
zìsìkrr,9,season,n
zenke,9,must not,v:m
tìomum,9,knowledge,n
venu,9,foot,n
kanu,9,"smart, intelligent",adj
krrnekx,9,take/consume time,v:in
tìkanu,9,intelligence,n
me,9,(dual),aff:pre
fpìlfya,9,"thought pattern, way of thinking",n
wrrza’u,9,"come out, emerge",v:in
kulat,9,"reveal, bring forth, uncover (literally and metaphorically)",v:tr
tsìltsan,9,"good (abstract concept), goodness",n
vospxìvomun,9,October,n
semkä,9,bridge,n
zìsìtay,9,next year,n
pìwopx,9,cloud,n
wum,9,"approximately, roughly",adv
lekin,9,necessary,adj
hän,9,"net, web",n
tìtxurnga’,9,powerful,adj
txurtel,9,rope,n
atxkxerel,9,map,n
HRH,9,"LOL (""laughing out loud"")",intj
tsko,8,bow (weapon),n
zusawkrr,8,future,n
lumpe,8,why,inter
seysonìltsan,8,well done! (derived from hasey soli nìltsan accomplished well),intj
kxamtrr,8,"midday, noon",n
tsyafe,8,"mild, moderate, comfortable",adj
txoa,8,forgiveness,n
mun’i,8,cut,v:?
txokefyaw,8,"if not, or else, otherwise",conj
tìhawnu,8,protect,nv:si
le’awtu,8,"alone, on one’s own, by one’s self; lonely",adj
ftanglen,8,prevent,v:tr
